timestamp,workload,app_http_request_latency_houses_POST_0.5,app_http_request_latency_houses_POST_0.9,app_http_request_latency_houses_POST_0.99,app_http_request_latency_metrics_GET_0.5,app_http_request_latency_metrics_GET_0.9,app_http_request_latency_metrics_GET_0.99,app_http_request_latency_recipes_GET_0.5,app_http_request_latency_recipes_GET_0.9,app_http_request_latency_recipes_GET_0.99,app_http_request_latency_recipes_POST_0.5,app_http_request_latency_recipes_POST_0.9,app_http_request_latency_recipes_POST_0.99,app_http_request_latency_schedules_POST_0.5,app_http_request_latency_schedules_POST_0.9,app_http_request_latency_schedules_POST_0.99,app_http_request_latency_storages_POST_0.5,app_http_request_latency_storages_POST_0.9,app_http_request_latency_storages_POST_0.99,app_http_request_latency_users_POST_0.5,app_http_request_latency_users_POST_0.9,app_http_request_latency_users_POST_0.99,pg_checkpoint_completion_target,pg_checkpoint_segments,pg_default_statistics_target,pg_effective_cache_size_mb,pg_maintenance_work_mem_mb,pg_random_page_cost,pg_shared_buffers_mb,pg_wal_buffers_mb,pg_work_mem_kb
1517597329,10,45,90,112,1,2,4,6,11,37,313,486,588,45,1162,1251,1407,3714,4439,31,47,119,0.5,3,100,128,16,4,128,128,1024
1517597331,10,45,90,112,1,2,4,6,11,37,313,486,588,45,1162,1251,1407,3714,4439,31,47,119,0.5,3,100,128,16,4,128,128,1024
1517597333,8.2,45,90,112,1,2,4,6,11,37,313,486,588,45,1162,1251,1697,3340,4439,29,47,119,0.5,3,100,128,16,4,128,128,1024
1517597335,8.2,45,90,112,1,2,4,6,11,37,313,486,588,45,1162,1251,1697,3340,4439,29,47,119,0.5,3,100,128,16,4,128,128,1024
1517597337,7.2,46,90,112,1,2,4,6,11,37,314,488,588,45,1162,1251,1644,3340,4439,31,47,119,0.5,3,100,128,16,4,128,128,1024
1517597339,7.2,46,90,112,1,2,4,6,11,37,314,488,588,45,1162,1251,1644,3340,4439,31,47,119,0.5,3,100,128,16,4,128,128,1024
1517597341,7.2,46,90,112,1,2,4,6,11,37,314,488,588,45,1162,1251,1644,3340,4439,31,47,119,0.5,3,100,128,16,4,128,128,1024
1517597343,7.4,57,89,112,1,2,4,6,11,37,315,488,588,45,1175,1251,1736,4093,4779,32,47,119,0.5,3,100,128,16,4,128,128,1024
1517597345,7.4,57,89,112,1,2,4,6,11,37,315,488,588,45,1175,1251,1736,4093,4779,32,47,119,0.5,3,100,128,16,4,128,128,1024
1517597347,7.8,57,89,112,1,2,4,6,11,37,315,493,648,46,1179,1251,1812,4093,4779,32,47,119,0.5,3,100,128,16,4,128,128,1024
1517597349,7.8,57,89,112,1,2,4,6,11,37,315,493,648,46,1179,1251,1812,4093,4779,32,47,119,0.5,3,100,128,16,4,128,128,1024
1517597351,7.8,57,89,112,1,2,4,6,11,37,315,493,648,46,1179,1251,1812,4093,4779,32,47,119,0.5,3,100,128,16,4,128,128,1024
1517597353,7,66,90,112,1,2,4,6,12,42,315,493,648,46,1175,1251,2013,4197,4779,35,47,119,0.5,3,100,128,16,4,128,128,1024
1517597355,7,66,90,112,1,2,4,6,12,42,315,493,648,46,1175,1251,2013,4197,4779,35,47,119,0.5,3,100,128,16,4,128,128,1024
1517597357,5.2,66,90,112,1,2,4,6,12,42,315,493,648,45,1162,1251,1860,4135,4779,35,48,119,0.5,3,100,128,16,4,128,128,1024
1517597359,5.2,66,90,112,1,2,4,6,12,42,315,493,648,45,1162,1251,1860,4135,4779,35,48,119,0.5,3,100,128,16,4,128,128,1024
1517597361,5.2,66,90,112,1,2,4,6,12,42,315,493,648,45,1162,1251,1860,4135,4779,35,48,119,0.5,3,100,128,16,4,128,128,1024
1517597363,4.8,66,90,112,1,2,4,6,12,41,315,493,648,45,1175,1254,1860,4135,4779,35,47,119,0.5,3,100,128,16,4,128,128,1024
1517597365,4.8,66,90,112,1,2,4,6,12,41,315,493,648,45,1175,1254,1860,4135,4779,35,47,119,0.5,3,100,128,16,4,128,128,1024
1517597367,4,66,90,112,1,2,4,6,12,41,318,493,704,45,1175,1254,1860,4135,4779,35,48,119,0.5,3,100,128,16,4,128,128,1024
1517597369,4,66,90,112,1,2,4,6,12,41,318,493,704,45,1175,1254,1860,4135,4779,35,48,119,0.5,3,100,128,16,4,128,128,1024
